Feature ID	Taxon	Consensus
ESV_2293.1401	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Beijerinckiaceae;  g__Methylocystis; s__	0.7
ESV_2328.1550	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Klebsiella; s__	1.0
ESV_2331.1556	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	1.0
ESV_2341.1504	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micromonosporales;  f__Micromonosporaceae	1.0
ESV_2350.1549	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Enterococcaceae;  g__Enterococcus; s__	1.0
ESV_2359.1536	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Corynebacteriaceae;  g__Corynebacterium;  s__Corynebacterium_glutamicum	1.0
ESV_2375.1541	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	1.0
ESV_2445.1495	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Sphingomonadales;  f__Sphingomonadaceae;  g__Sphingomonas; s__	0.9
ESV_2449.1550	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Lactococcus	1.0
ESV_2474.1440	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Rhizobiaceae;  g__Ochrobactrum; s__	1.0
ESV_2494.1478	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Acetobacterales;  f__Acetobacteraceae;  g__Acetobacter; s__	0.9
ESV_2516.1517	k__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridiales;  f__Clostridiaceae;  g__Clostridium_sensu_stricto_18; s__	1.0
ESV_2543.1538	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus; s__	1.0
ESV_2587.1538	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	1.0
ESV_2602.1534	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	1.0
ESV_2603.1546	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Erwiniaceae;  g__Pantoea	0.7
ESV_2628.1551	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Yersiniaceae;  g__Serratia; s__	1.0
ESV_2630.1497	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Lactobacillaceae;  g__Lactobacillus; s__	1.0
ESV_2641.1540	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Alteromonadales;  f__Moritellaceae;  g__Moritella; s__	0.7
ESV_2687.1538	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Burkholderiaceae;  g__Cupriavidus; s__	1.0
ESV_2754.1458	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Comamonadaceae;  g__Delftia; s__	1.0
