#OTU ID	16SAMP-2340	16SAMP-2589	16SAMP-2643	16SAMP-3459	16SAMP-3460	16SAMP-3463	16SAMP-4077	16SAMP-4081	16SAMP-4598	16SAMP-4601	MQ180605-111	MQ180605-112	MQ180605-113	MQ180605-114	MQ180605-115	MQ180605-116	MQ180605-117	MQ180605-118	MQ180605-119	MQ180605-120	MQ180605-121	MQ180605-122	MQ180605-123	MQ180605-124	MQ180605-125	MQ180605-126	MQ180605-127	MQ180605-128	MQ180605-129	MQ180605-130	MQ180605-131	MQ180605-132	MQ180605-133	MQ180605-134	MQ180605-135	MQ180605-136	MQ180605-137	MQ180605-138	MQ180605-139	MQ180605-140	MQ180605-141	MQ180605-142	MQ180605-143	MQ180605-144	MQ180605-145	MQ180605-146	MQ180605-147	MQ180605-148
ASV15729	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV6347	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	0	4	45	0	0	0	0	0	0	0	0
ASV12611	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	1	0	0
ASV3535	0	0	0	3	0	0	3	0	0	27	0	2	0	0	2	0	0	0	13	0	2	0	0	0	0	46	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV13964	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	13	29	0	0	0	0	0	0	0	0
ASV5198	0	0	0	1	0	0	8	0	0	6	0	1	0	1	59	0	19	0	0	5	0	0	0	0	0	1	1	8	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7549	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1	0	44	0	0	0	0	0	0	0	0	0
ASV5563	0	0	0	4	0	0	0	0	0	0	73	0	0	0	1	0	0	1	0	0	0	0	0	0	0	19	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10965	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	1	0	2	1	4	0	0	0	0	0	6	0
ASV9755	0	0	0	19	0	0	2	0	0	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV12448	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	2	1	0	2	2	0	0	0
ASV6045	0	0	0	5	0	0	11	0	0	32	2	0	0	0	8	9	14	1	1	2	0	0	0	0	0	0	2	0	0	0	6	0	0	5	0	2	0	7	0	0	0	0	3	2	0	4	0	1
ASV1399	0	0	0	16	0	29	0	16	54	27	0	2	0	0	68	41	2	2	26	5	3	1	3	0	0	29	1	0	0	2	245	0	0	0	0	1	30	12	0	1	2	0	0	38	0	90	0	17
ASV4778	0	0	0	2	0	0	0	0	0	0	0	28	2	18	0	0	0	8	9	1	0	2	11	0	2	0	35	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ASV7341	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	33	3
ASV6584	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	11	0	3	0	0	0	0	3	2	0	29	3	21
ASV4952	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	16	0	0	0	0	0	13	83	4	0	0	0	0	0	0	0
ASV9655	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	0	0	0	0	0
ASV3499	0	0	0	7	0	1	0	0	3	1	1	8	0	25	20	0	0	1	1	5	1	0	0	0	22	0	31	0	0	0	2	0	0	1	0	5	0	1	21	25	0	16	2	0	1	0	0	0
ASV9466	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	2	0	0	0	0	0	0	0	2	12	10
ASV13757	0	0	0	2	0	0	1	0	0	7	0	0	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ASV6460	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	25	57	0	0	0	0	0	0	0	0
ASV12004	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	25	0
ASV10222	0	0	0	5	0	0	0	0	0	0	0	0	1	0	27	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV5917	0	0	0	13	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	3	6	0	3	1	1	43	0	0	0	0	6	19	1
ASV5586	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	88	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ASV12444	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	10	8	0	0	0	0	0	0	0	0
ASV3958	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	8	3	4	1	0	0	0	1	0	0	0	38	31	103
ASV11392	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0
ASV11001	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ASV6783	0	0	0	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	1	34	0	0	0	0	13	15	2	0	0	0
ASV6285	0	0	0	11	1	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	1	2	1	0	1	0	13	0	0	0	3	1	50	1	0	1	0	0	0	0	0
ASV9942	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
ASV3542	0	0	0	3	0	31	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	6	1	55	43	54	0	0	21	7	0	0	3	0	0	0
ASV9525	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	1	1	3	7	0	0	0	0	7	2	1
ASV7475	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4	3	0	0	0	32	14	2	0	0	0	0	0	0	1
ASV16370	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2	0	2
ASV2705	0	0	0	1	6	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	109	0	5	10	34	0	0	88	6	1	24	10	5	0	16
ASV4089	0	0	0	7	6	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	24	26	3	7	0	1	15	0	14	0	0	9	12	28
ASV12042	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	11	0	0	0	0	0	0	0	0
ASV5320	0	0	0	8	0	0	5	0	3	9	0	0	0	0	49	7	0	2	0	3	10	0	0	0	0	7	0	0	0	1	6	0	0	0	0	0	0	25	0	0	2	0	1	1	0	0	0	1
ASV135	0	0	0	2	6	245	831	0	1	145	0	2	8	0	4	0	0	4	0	2	1	1	0	2	0	4	0	32	5	18	1	1	7	538	0	32	361	1668	0	1	515	954	6	521	974	1	0	1
ASV11886	0	0	0	13	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	2	0	0	0	1	0	0	0	0	0	0	0
ASV7683	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	3	18	0	0	0	0	0	0	0	0
ASV14082	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	5	2	1	2	1	1	1	0	0	0	0
ASV9349	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	14	0	10
ASV3768	0	0	0	5	0	0	3	3	2	57	0	26	1	0	16	17	53	3	0	9	0	0	0	0	2	6	3	0	0	7	10	3	0	0	0	3	0	2	3	0	0	0	0	0	0	1	0	1
ASV12293	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	18	1
ASV2315	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	79	0	0	0	0	4	195	57	0	0	0	0	0	0	0	17
ASV7174	0	0	0	5	0	0	3	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	26	0	0	0	0	0	0	2	0	1	0	0	0	0	0	17	0	1
ASV4670	0	0	0	5	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	6	5	6	0	2	1	24	1	6	0	1	13	26	6
