"FLASV","idty","Kingdom","Phylum","Class","Order","Family","Genus"
"FLASV8403.1377",98.8,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus"
"FLASV8404.1303",99.2,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"FLASV8405.1348",99.4,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"FLASV8406.1356",99.5,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas"
"FLASV8407.1320",99.6,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"FLASV8408.1359",97.8,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosomonas"
"FLASV8409.1377",99.2,"Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
"FLASV8410.1354",97.7,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group",""
"FLASV8411.1361",99.5,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",""
"FLASV8412.1366",96.3,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",""
"FLASV8413.1348",99.7,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"FLASV8414.1351",97.9,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax"
"FLASV8415.1321",100,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"FLASV8416.1353",99.2,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767",""
"FLASV8417.1395",93.2,"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","YM_S32_TM7_50_20",""
"FLASV8418.1373",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV8419.1380",99.3,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV8420.1354",97.7,"Bacteria","Bacteroidota","Ignavibacteria","SJA-28","",""
"FLASV8421.1343",97,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",""
"FLASV8422.1364",96.6,"Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea"
"FLASV8423.1342",99.9,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"FLASV8424.1374",99.1,"Bacteria","Acidobacteriota","Subgroup_22","","",""
"FLASV8425.1318",98.8,"Bacteria","Acidobacteriota","Acidobacteriae","Bryobacterales","Bryobacteraceae","Bryobacter"
"FLASV8426.1352",99.5,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV8427.1336",83.4,"Bacteria","Bacteroidota","Bacteroidia","SM1A07","",""
"FLASV8428.1359",99.5,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"FLASV8429.1340",99.1,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"FLASV8430.1359",99.1,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"FLASV8431.1366",99.4,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"FLASV8432.1339",99.3,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",""
"FLASV8433.1358",99.2,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV8434.1356",97.3,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"FLASV8435.1359",98,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"FLASV8436.1337",99.7,"Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256","",""
"FLASV8437.1379",99.4,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV8438.1359",99.6,"Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13","",""
"FLASV8439.1344",99.6,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV8440.1331",83.7,"Bacteria","Patescibacteria","Parcubacteria","Ca_Nomurabacteria","",""
"FLASV8441.1331",98.7,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",""
"FLASV8442.1310",99.5,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"FLASV8443.1320",99.3,"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Ca_Solibacter"
"FLASV8444.1324",98.6,"Bacteria","Chloroflexi","KD4-96","","",""
"FLASV8445.1307",95.4,"Bacteria","Chloroflexi","Ktedonobacteria","C0119","",""
"FLASV8446.1370",99.2,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",""
"FLASV8447.1373",98,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","",""
"FLASV8448.1352",96.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17",""
"FLASV8449.1358",98.1,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17",""
"FLASV8450.1337",98.1,"Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",""
"FLASV8451.1374",99.4,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"FLASV8452.1353",98.3,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"FLASV8453.1342",99,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Stenotrophobacter"
"FLASV8454.1306",99.3,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"FLASV8455.1353",95.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767",""
"FLASV8456.1306",99.3,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"FLASV8457.1356",99.5,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax"
"FLASV8458.1380",99.5,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Ca_Udaeobacter"
"FLASV8459.1323",99.2,"Bacteria","Chloroflexi","Gitt-GS-136","","",""
"FLASV8460.1310",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"FLASV8461.1375",99.6,"Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
"FLASV8462.1359",99.7,"Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13","",""
