FLASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Tax
FLASV8655.1375,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,AsCoM_s_8655,"d:Bacteria,p:Acidobacteriota,c:Thermoanaerobaculia,o:Thermoanaerobaculales,f:Thermoanaerobaculaceae,g:Subgroup_10,s:AsCoM_s_8655,"
FLASV8656.1365,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,AsCoM_f_615,AsCoM_g_4615,AsCoM_s_8656,"d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Gaiellales,f:AsCoM_f_615,g:AsCoM_g_4615,s:AsCoM_s_8656,"
FLASV8657.1339,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,AsCoM_s_706,"d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Pirellulales,f:Pirellulaceae,g:Pirellula,s:AsCoM_s_706,"
FLASV8658.1357,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,AsCoM_g_2896,AsCoM_s_8658,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:Microscillaceae,g:AsCoM_g_2896,s:AsCoM_s_8658,"
FLASV8659.1358,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,AsCoM_s_8659,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Alkanindiges,s:AsCoM_s_8659,"
FLASV8660.1374,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,AsCoM_g_727,AsCoM_s_4381,"d:Bacteria,p:Myxococcota,c:Myxococcia,o:Myxococcales,f:Myxococcaceae,g:AsCoM_g_727,s:AsCoM_s_4381,"
FLASV8661.1369,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,AsCoM_g_8661,AsCoM_s_8661,"d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Gemmatales,f:Gemmataceae,g:AsCoM_g_8661,s:AsCoM_s_8661,"
FLASV8662.1321,Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionaceae,AsCoM_g_7629,AsCoM_s_8662,"d:Bacteria,p:Cyanobacteria,c:Vampirivibrionia,o:Vampirovibrionales,f:Vampirovibrionaceae,g:AsCoM_g_7629,s:AsCoM_s_8662,"
FLASV8663.1333,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,AsCoM_g_496,AsCoM_s_2546,"d:Bacteria,p:Gemmatimonadota,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:AsCoM_g_496,s:AsCoM_s_2546,"
FLASV8664.1373,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,AsCoM_f_439,AsCoM_g_439,AsCoM_s_2152,"d:Bacteria,p:Acidobacteriota,c:Vicinamibacteria,o:Vicinamibacterales,f:AsCoM_f_439,g:AsCoM_g_439,s:AsCoM_s_2152,"
