Feature ID	Taxon	Confidence
ESV_1676.1569	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Virgibacillus; s__	0.9954026650768659
ESV_1687.1549	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_equi	0.9999999838263421
ESV_1694.1451	k__Bacteria;  p__Campilobacterota;  c__Campylobacteria;  o__Campylobacterales;  f__Campylobacteraceae;  g__Campylobacter;  s__Campylobacter_hominis	0.9999999794629846
ESV_1710.1495	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Acetobacterales;  f__Acetobacteraceae;  g__Komagataeibacter; s__	0.9790122966724845
ESV_1720.1549	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Yersiniaceae;  g__Yersinia; s__	0.9990303713356767
ESV_1731.1566	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_pluranimalium	0.9999996788428068
ESV_1736.1519	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Nocardiaceae;  g__Rhodococcus;  s__Rhodococcus_hoagii	0.9443910581239088
ESV_1752.1562	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Vibrionales;  f__Vibrionaceae;  g__Vibrio; s__	0.9753910928020145
ESV_1758.1550	k__Bacteria;  p__Myxococcota;  c__Polyangia;  o__Polyangiales;  f__Polyangiaceae;  g__Labilithrix;  s__Labilithrix_luteola	0.9999801592778491
ESV_1818.1447	k__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Flavobacteriales;  f__Flavobacteriaceae;  g__Tenacibaculum;  s__Tenacibaculum_mesophilum	0.9999564110430604
ESV_1823.1499	k__Bacteria;  p__Campilobacterota;  c__Campylobacteria;  o__Campylobacterales;  f__Campylobacteraceae;  g__Campylobacter;  s__Campylobacter_iguaniorum	0.7871234085287246
ESV_1830.1466	k__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Flavobacteriales;  f__Flavobacteriaceae;  g__Flavobacterium; s__	0.7051821108121009
ESV_1837.1518	k__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridiales;  f__Clostridiaceae;  g__Clostridium_sensu_stricto_18; s__	0.9999938405831137
ESV_1849.1550	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus;  s__Bacillus_paralicheniformis	0.8572372238306696
ESV_1856.1532	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Pseudonocardiales;  f__Pseudonocardiaceae;  g__Pseudonocardia; s__	0.9195341678305705
ESV_1902.1469	k__Bacteria;  p__Proteobacteria;  c__Alphaproteobacteria;  o__Rhizobiales;  f__Rhizobiaceae;  g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium; s__	0.9990275300817872
ESV_1929.1540	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas;  s__Pseudomonas_frederiksbergensis	0.7857143843297139
ESV_1933.1472	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Xanthomonadales;  f__Xanthomonadaceae;  g__Xanthomonas; s__	0.9995369722203562
